Model,R2 Score
KNN,0.8376855944265323
AdaBoost,0.7104387339198217
SVM,0.5879561637924766
XGBoost,0.9346736372386841
Gradient Boosting,0.9067115554268012
Decision Tree,0.8570575926968924
Random Forest,0.9100749288012565
Linear Regression,0.8581649912174765
XGBoost all Data,0.9445415121852796
Random Forest all Data,0.940120535352341
Gradient Boosting all Data,0.9470746932078429
XGBoost Hypertuned,0.9357554945651602
Random Forest Hypertuned,0.9164593159195789
Gradient Boosting Hypertuned,0.9380003734106331
Combined,0.9467401606144736
